year_month_day,trade_count,trade_revenue_xtz,primary_revenue_xtz,secondary_revenue_xtz,unique_sellers,unique_collectors
2021-06-22,5986.0,24173.921923000096,15821.149413999938,8352.772508999984,1479.0,1636.0
2021-06-23,5811.0,31497.761211999918,23501.753239999907,7996.007971999989,1384.0,1630.0
2021-06-24,5829.0,31500.32265999994,22651.316208999913,8849.006450999985,1397.0,1668.0
2021-06-25,6081.0,24800.636320999965,16963.773330000062,7836.86299099999,1412.0,1615.0
2021-06-26,4426.0,17680.850197999967,12075.604780000005,5605.245417999997,1268.0,1349.0
2021-06-27,4275.0,14702.02078900001,9640.60245500005,5061.418333999995,1208.0,1174.0
2021-06-28,2502.0,12735.276835000031,6481.605058000029,6253.671776999999,884.0,895.0
2021-06-29,72.0,0.0,0.0,0.0,7.0,37.0
2021-06-30,4.0,0.0,0.0,0.0,1.0,1.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,8.0,0.0,0.0,0.0,1.0,1.0
2021-07-06,1.0,0.0,0.0,0.0,1.0,1.0
2021-07-07,3235.0,22524.305589000156,19307.135900000114,3217.1696889999994,583.0,1081.0
2021-07-08,3760.0,16719.82188200005,12407.786102000058,4312.035779999997,792.0,1200.0
2021-07-09,4118.0,17647.45148399998,12479.733320000012,5167.718163999995,937.0,1236.0
2021-07-10,3334.0,14891.040092999987,8358.037473999995,6533.002618999994,818.0,992.0
2021-07-11,3788.0,13711.104479000041,8861.593250000044,4849.511228999996,794.0,1017.0
2021-07-12,4449.0,17226.89969799999,12270.26038900003,4956.639308999998,864.0,1191.0
2021-07-13,4954.0,18768.60989500007,13367.000955000043,5401.608939999999,922.0,1255.0
2021-07-14,3154.0,15701.709138000026,9348.592078999987,6353.117058999995,812.0,1046.0
2021-07-15,4218.0,17360.510854999924,11831.224275000135,5529.286579999989,851.0,1231.0
2021-07-16,4538.0,19749.25505000032,11328.908170000263,8420.34687999999,893.0,1241.0
2021-07-17,4982.0,14842.846864000458,9584.312595000083,5258.5342689999925,882.0,1155.0
2021-07-18,7881.0,18654.373899001846,9563.877999000086,9090.495899999993,997.0,1269.0
2021-07-19,5873.0,24216.85888700033,16968.47850900015,7248.380377999991,1075.0,1398.0
2021-07-20,4523.0,14101.97070700009,9811.337266999974,4290.633439999999,901.0,1243.0
2021-07-21,4290.0,18443.160528000037,12163.864540000011,6279.295987999994,940.0,1233.0
2021-07-22,4123.0,17692.074983999995,10474.811476000066,7217.263507999988,1017.0,1188.0
2021-07-23,3933.0,20701.28059000006,12963.720299999992,7737.560289999982,961.0,1136.0
2021-07-24,3474.0,15233.945230000012,8418.820840000004,6815.124389999984,938.0,969.0
2021-07-25,4886.0,16995.461915000047,11430.675516000023,5564.786398999995,988.0,1097.0
2021-07-26,4425.0,17268.849677000046,11900.907777000026,5367.941899999991,986.0,1253.0
2021-07-27,4753.0,16988.55823400002,10952.749254000011,6035.808979999992,1006.0,1269.0
2021-07-28,5040.0,29356.414785,20798.932546999982,8557.482237999988,1116.0,1341.0
2021-07-29,4298.0,21753.438557000052,13339.700898000016,8413.73765899999,989.0,1308.0
2021-07-30,4415.0,15948.515120999971,10404.133233000028,5544.381887999992,989.0,1236.0
2021-07-31,3300.0,14410.703789000052,10246.667400000024,4164.036388999999,830.0,929.0
