Block level,Datetime,Operation,Received XTZ,Received EUR,From address,Sent XTZ,Sent EUR,Fee XTZ,Fee EUR,To address,Explorer link
2146722,2022-02-25 01:13:34,transaction,0.13125,0.3637697026180321,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oo35iJHtvth5CeH81ogS3YBo9jmoH62mds2ixjnL1gV6zy3j974/13995808/12
2146725,2022-02-25 01:15:04,transaction,0.0125,0.03464473358266972,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onyFZCNnt7qE6DgY5LXPA4Ge8qD5AgTDwCQ3RagKqe9QR6k3Abh/52008991/20
2146729,2022-02-25 01:17:04,transaction,0.0625,0.17321307052223667,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooCT1Krx6R8MUuXVLQbnCtSNfnGLvt1M5R7VjNjLoCbqYEKDxcA/14853389/32
2146732,2022-02-25 01:18:34,transaction,0.025,0.06928522820889467,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oowfxPks9LFDru4qpR2d6LnocismLpNJuFBcD4rsndXAJLUYirT/50438593/28
2146733,2022-02-25 01:19:04,transaction,0.025,0.06928522820889467,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooXpzH3JvQofMR5Kce2K7AQt1rHy4R1vKw5XfKVpDjyJPCb6yeE/50438594/30
2146736,2022-02-25 01:20:34,transaction,0.024,0.06651381908053888,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onz1DP6y3VoyrcHy2PduiByViyqm3Wj4FBEfgLBsM5ejVtbdXfc/52008992/36
2146743,2022-02-25 01:24:04,transaction,0.95,2.634775831194533,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooNa7KyH1NJpbjUXHZ9bHXKLxVLtg3GUdSeNsDzhEn2kdVJjvnq/41174798/26
2146754,2022-02-25 01:29:34,transaction,0.175,0.4881700560345468,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oouu3YNJzSUBHZn9pDmJMFZn1VkmPcLp8V63E39ifZp8N7T5dC3/41174799/25
2146755,2022-02-25 01:30:04,transaction,0.175,0.4881700560345468,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/onoDXkDMFE9AKLF14brcgfY3XT7JVcwCdajss8vNxKHEWV7pUMK/41174800/25
2146763,2022-02-25 01:34:04,transaction,0.0375,0.10461207258825285,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oot9jVrktRJN5jgQYCkJXN4ko455oRu4zF8G5dufXvGT3a8cKQd/26968582/34
2146767,2022-02-25 01:36:04,transaction,0.025,0.06962191509762349,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooLjnErLhJjYFXffELKRkTUtbTLH3wjL85ASn3t9xXUXSqzKRPX/47550620/45
2146770,2022-02-25 01:37:34,transaction,0.047,0.13088920038353213,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oorWay3LdLM6b8VtnFqG5sFRbafM6JfYYLTsrsrDKoZh4TaAGNc/47550621/26
2146772,2022-02-25 01:38:34,transaction,0.025,0.06962191509762349,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onq3hnqvdQUV9iB8vo7PtMsCFEJeZjGEeHqs46xrs3ocb2QV8Mv/25511659/12
2146773,2022-02-25 01:39:04,transaction,0.325,0.9050848962691053,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/onjJrNnRvZQBCQY34f31inrDh1HoeXoacKYAHxf2FobuK9HeYPa/44460463/20
2146775,2022-02-25 01:40:04,transaction,0.075,0.20886574529287041,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/op7UiV5DUSp4WZyrCMv2Vv4Vf2nJeLgt4HH3J2MjPaR4cSpj7jt/47550622/12
2146777,2022-02-25 01:42:14,transaction,0.003125,0.008684245170374744,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooGXC4cBUxUAzUKCao5WzR7RLvsVHYS6UxZJiDjyxBaVp3ZbQFw/47846823/32
2146780,2022-02-25 01:43:44,transaction,0.003125,0.008684245170374744,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooAajnkZf525bUCdMFazh9Ucr3RYeiKc3HtoUvty3a7Kibrg1eC/21690845/14
2146781,2022-02-25 01:44:14,transaction,0.025,0.06947396136299795,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/op9s8syK2uktfotvPNCoXPjfRSGudEe8a8wLDV183YLW8tB8b49/49729762/34
2146783,2022-02-25 01:45:14,transaction,0.025,0.06938470299701666,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opaF1wKKtS8641wQvPLcv8NisPUV3Kn581QzW6aVb5mpL6QkCgb/49729763/26
2146787,2022-02-25 01:47:14,transaction,0.025,0.06938470299701666,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooUc8ThZrj3QFT3Msat86jzBLYucovDFLqzw4DFPmo3FEStxkrn/49729764/22
2146794,2022-02-25 01:50:44,transaction,0.025,0.06938470299701666,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onjGF8G7SLECKv4TFaHgbUs1EpETJnkswMo2jJXtPGGo6KxDNos/49729765/15
2146822,2022-02-25 02:04:44,transaction,0.25,0.6947569028255224,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oow5Fas4Dx5XLxaEjYL4uSmYAN9JsbzXwwMeaQhXF7iC1LjnzpT/51871896/54
2146837,2022-02-25 02:12:14,transaction,0.00555,0.015403253237806351,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooAzbxieUTqutXzoopRqmmdxHGko2PygwndKLaiEF7hcbCufgCY/50623592/8
2146838,2022-02-25 02:12:44,transaction,0.025,0.0693840235937223,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooWdBhtug4rMudFshZP6DvovbPjJyTm3Nr345DoBiiKZugGiGBp/51871897/33
2146842,2022-02-25 02:14:44,transaction,0.01665,0.046209759713419056,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooUYdKZCvjX449XY1edHx5o8YQXtvkUrRvgB6CnP7dHkrbwM9dZ/36594231/12
2146842,2022-02-25 02:14:44,transaction,0.01665,0.046209759713419056,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooAnvNR6SXQQXkRoA2pbtxAA6exER8s8UPsU3gqgvw9NZKGSCcP/30975124/19
2146859,2022-02-25 02:23:14,transaction,0.003125,0.008687738110731967,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/opHDy3XoyxF3u3qkRP2LTsjXweT5BMo1bXnxP5qv4pQ6CgRcNh7/47846824/17
2146869,2022-02-25 02:28:14,transaction,0.0125,0.034806408455107636,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op7bD8Hxggur1QWa7QoUkBxAvoFQQyan1QeiZsqXNqJM8YTKhNh/30975125/34
2146872,2022-02-25 02:29:44,transaction,0.005,0.013922563382043054,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooVxNRj8aH9pYkpsmzjDiNz5fqFBLm4JH5wKeKGaPMbTrRGh7iL/41719135/44
2146875,2022-02-25 02:31:14,transaction,0.005,0.013953640874979452,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opH9jo3BGR21pChPXwbEN8sPqMTC1R8jWoAdeHFCsP3BtTTmKCe/41719137/28
2146876,2022-02-25 02:31:44,transaction,0.005,0.013953640874979452,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oowa2cPe3tLPaSNjJ33WMeSHM3ThQfyqpoCyY97nfNegYXBCLeq/41719138/17
2146878,2022-02-25 02:32:44,transaction,0.005,0.013953640874979452,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opEn1saPDWu5PKhCjjRZMYiavzgQz9ueUoaCvkvASQWcKBCBRfj/41719139/56
2146881,2022-02-25 02:34:14,transaction,0.024,0.06697747619990137,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooxhVwbt1rmbWkUxVMkMv6eUi8uihC6tBBhveNgqZoywoDnfY5P/11375226/22
2146882,2022-02-25 02:34:44,transaction,0.024,0.06697747619990137,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opGa5M8rd25NhCUVvc1yUqmqgLge7JP19Jv1Vsq8TzeNfq82y8u/51871898/16
2146884,2022-02-25 02:35:44,transaction,0.05,0.13954935596391613,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/opSkV18mMtCAtUa61oLLbqybU6DpuVYoz2P1Dez9wx6kTwpneLN/47846825/35
2146886,2022-02-25 02:36:44,transaction,0.0125,0.03488733899097903,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/onxA6nakuW9eFp4qhVtRNbspv8gGVi1x2nwak8vz5x5hSEtqfzL/14091139/23
2146890,2022-02-25 02:38:44,transaction,0.825,2.302564373404616,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oo447NzYGjdeNJ4YESLbNvijrFYcsjNtNhssmASAwun2zH5nDKa/30508837/24
